play_id,author_id
1,6
2,6
3,6
4,6
5,34
6,113
6,114
6,22
7,6
8,6
9,14
11,4
12,83
12,31
13,34
13,58
15,36
16,61
16,5
16,7
17,6
18,52
18,19
18,25
18,27
19,20
19,44
19,1
19,62
19,63
20,22
21,4
21,59
21,41
21,19
22,13
22,48
22,50
23,33
23,72
23,71
23,69
24,6
25,40
25,4
25,59
25,41
25,60
26,17
26,19
26,73
26,40
26,36
27,4
27,19
27,38
27,39
27,76
27,41
28,6
29,4
29,118
30,50
31,56
32,34
33,4
33,68
33,79
33,80
33,41
34,6
35,34
35,58
36,17
36,10
37,81
37,82
38,86
38,19
39,87
40,6
41,6
44,90
45,81
45,91
45,82
46,31
47,117
48,58
48,62
48,20
49,56
51,64
51,65
51,66
51,94
52,4
52,19
52,80
52,40
52,68
52,41
54,6
55,106
56,17
56,19
56,40
56,105
57,49
58,65
58,64
60,115
60,101
61,6
62,52
62,19
62,25
63,52
63,19
63,25
64,116
65,27
66,17
66,19
68,101
70,122
71,25
71,19
71,40
72,27
72,1
72,29
72,26
72,77
72,43
73,36
73,19
73,25
73,40
75,34
75,58
76,6
77,58
77,20
78,47
78,8
79,4
79,16
79,119
79,98
79,19
80,4
81,17
81,10
82,41
82,44
82,68
82,12
83,17
83,10
85,6
86,99
87,6
90,4
90,68
90,96
90,19
90,97
90,98
90,41
91,52
91,19
91,25
92,121
93,25
93,19
94,17
94,19
95,25
95,19
95,40
96,122
97,34
97,58
98,112
99,18
100,88
101,4
101,19
101,80
101,39
101,109
101,41
103,93
104,78
105,44
105,58
105,84
105,1
105,62
105,85
106,6
107,6
108,34
109,34
109,57
109,58
110,4
110,100
110,59
110,41
111,55
112,54
113,6
114,21
115,56
116,34
116,58
118,102
119,31
120,61
120,74
120,75
120,65
121,89
122,1
122,104
125,81
125,91
125,82
126,53
127,110
127,111
129,88
131,30
133,54
134,14
135,67
135,64
136,6
139,64
139,65
139,66
141,40
141,4
141,59
141,41
141,19
142,27
142,28
143,52
143,19
143,25
144,6
146,56
147,4
147,40
147,41
147,59
147,60
148,6
149,17
149,10
151,26
152,108
156,92
157,88
158,42
159,95
160,11
161,6
161,94
162,14
164,27
165,116
173,2
174,6
175,42
176,6
177,24
177,26
184,107
186,46
